Date,Duration (min),Distance (mi),Avg Pace (min/mi),Avg Speed (mph),Steps,Avg heart rate (bpm),VO2Max (ml/kg/min),Extreme (min),Anaerobic (min),Aerobic,Fat-burning (min),Warm-up,Mental Clarity,Stress (Huawei),Wellbeing (1 - 10),Avg SpO2 (%),Resting Heart Rate,Sleep Duration (hrs),Times Woke Up,Sleep Score,Modafinil,Coffee Day (Yes/No),Resistance training,Rest,Notes,winsorized_distance
12/23/24,60.0,0.0,11.75,5.11,"9,570.00",152.0,47.0,0.0,21.0,36.0,1.0,1.0,8.0,42.0,6.0,96.00%,57.0,9.05,3.0,81.0,False,True,False,False,2 day gap for christmas,0.0
12/26/2024,60.0,0.0,12.2,4.89,"9,538.00",148.0,47.0,0.0,3.0,54.0,1.0,1.0,8.0,43.0,8.0,96.00%,52.0,8.02,2.0,86.0,False,True,False,False,,0.0
12/27/2024,45.0,0.0,11.5,5.24,"7,152.00",149.0,47.0,0.0,6.0,36.0,2.0,1.0,8.0,36.0,6.0,98.00%,52.0,10.61,1.0,74.0,False,False,False,False,,0.0
12/28/2024,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,33.0,5.0,98.00%,52.0,8.83,1.0,83.0,False,False,False,True,,0.0
12/29/2024,61.0,0.0,11.75,5.11,"9,598.00",147.0,47.0,0.0,0.0,56.0,2.0,0.0,4.0,38.0,4.0,98.00%,55.0,7.5,0.0,85.0,False,False,False,False,Start of duration tracking,0.0
12/30/2024,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,39.0,9.0,96.00%,55.0,,,,True,True,True,False,Resistance training,0.0
12/31/2024,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,44.0,8.0,98.00%,57.0,9.26,4.0,80.0,False,True,False,True,,0.0
1/1/2025,60.0,0.0,11.83,5.07,"9,447.00",151.0,47.0,0.0,22.0,33.0,4.0,1.0,9.0,35.0,8.0,98.00%,55.0,10.0,,,False,False,False,False,,0.0
1/2/2025,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0,6.0,98.00%,51.0,,,,False,True,False,True,Woke up super groggy from sleep,0.0
1/5/2025,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,37.0,3.0,96.00%,48.0,9.75,2.0,79.0,False,False,False,False,Migraine postdrome,0.0
1/6/2025,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.0,6.0,96.00%,50.0,,,,True,True,True,False,Migraine postdrome,0.0
1/13/2025,50.0,0.0,11.5,5.25,"7,860.00",148.0,47.0,0.0,8.0,39.0,2.0,0.0,7.0,37.0,6.0,96.00%,50.0,8.0,2.0,86.0,False,True,False,False,Took a break for vacation,0.0
1/14/2025,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,38.0,6.0,98.00%,50.0,,,,False,True,True,False,,0.0
1/20/2025,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,40.0,8.0,98.00%,53.0,8.25,0.0,89.0,True,True,True,False,,0.0
1/21/2025,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,34.0,6.5,97.00%,52.0,9.33,0.0,84.0,False,True,False,True,,0.0
1/22/2025,50.5,0.0,11.33,5.27,"7,909.00",147.0,47.0,0.0,7.0,40.0,2.0,0.0,6.0,34.0,6.0,99.00%,52.0,9.33,0.0,84.0,False,True,False,False,,0.0
1/23/2025,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,4.0,98.00%,50.0,8.8,1.0,84.0,False,False,False,True,,0.0
1/24/2025,0.0,0.0,0.0,0.0,0.00,0.0,46.0,0.0,38.0,4.0,0.0,0.0,8.0,30.0,8.0,98.00%,51.0,9.0,1.0,84.0,False,False,False,False,,0.0
1/27/2025,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,35.0,7.0,98.00%,53.0,8.75,1.0,83.0,False,True,True,False,,0.0
1/28/2025,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0,7.0,98.00%,49.0,10.0,3.0,78.0,False,True,False,True,,0.0
